"item_sugerido","veces","variantes"
"INSTALAR INHIBIDOR SENSOR MARIPOSA","1","INSTALAR INHIBIDOR SENSOR MARIPOSA (1)"
"ARREGLO BOMBA DE FRENO TRASERA","1","ARREGLO BOMBA DE FRENO TRASERA (1)"
"PINON DE ARRATSRE","1","PIÑON DE ARRATSRE (1)"
"MANTENIMIENTO Y DEPURACION DE FRENOS","1","MTO Y DEPURACION DE FRENOS (1)"
"EMPAQUETADURA MOTOR","1","EMPAQUETADURA MOTOR (1)"
"MECANISMO EJE DE CANBIOS","1","MECANISMO EJE DE CANBIOS (1)"
"TORNILLO CARTER","1","TORNILLO CARTER (1)"
"CAMBIAR GUAYA DE SILLA","1","CAMBIAR GUAYA DE SILLA (1)"
"CAMBIO DE LUCES","1","CAMBIO DE LUCES (1)"
"PROGRAMACION","1","PROGRAMACION (1)"
"ARREGLO MANUBRIO DERECHO","1","ARREGLO MANUBRIO DERECHO (1)"
"ENSAMBLE Y DESENSAMBLE MOTOR","1","ENSAMBLE Y DESENSAMBLE MOTOR (1)"
"CAMBIO FILTROS DE AIRE","1","CAMBIO FILTROS DE AIRE (1)"
"INSTALACION PROTECTORES RADIADOR","1","INSTALACION PROTECTORES RADIADOR (1)"
"CAMBIO DFILTRO DE AIRE","1","CAMBIO DFILTRO DE AIRE (1)"
"PINTURA GUASRDABARRO","1","PINTURA GUASRDABARRO (1)"
"REVISAR ACELERADOR","1","REVISAR ACELERADOR (1)"
"MARCO DE PLACA","1","MARCO DE PLACA (1)"
"VELOCIDAD CRUCERO","1","VELOCIDAD CRUCERO (1)"
"TORNILLO EXPLOR ADORA","1","TORNILLO EXPLOR<ADORA (1)"
"TORNILLERIA","1","TORNILLERIA (1)"
"BOMBILLOS STOP","1","BOMBILLOS STOP (1)"
"POSAPIES DELANTEROS","1","POSAPIES DELANTEROS (1)"
"BAJAR MOTOR DE CUPULA","1","BAJAR MOTOR DE CUPULA (1)"
"ARREGLO Y PINURA DE TANQUE","1","ARREGLO Y PINURA DE TANQUE (1)"
"POSAPIES TRASEROS","1","POSAPIES TRASEROS (1)"
"INSTALAR EXPLORADORAS","1","INSTALAR EXPLORADORAS (1)"
"LIMPIAR CARBUURADOR","1","LIMPIAR CARBUURADOR (1)"
"PINTURA GUSRDABARRO SEL","1","PINTURA GUSRDABARRO SEL (1)"
"BOMBILLO H 4","1","BOMBILLO H 4 (1)"
"XCAMBIAR GUAYA DE CLUTCH","1","XCAMBIAR GUAYA DE CLUTCH (1)"
"RIN MANO DE OBRA","1","RIN MANO DE OBRA (1)"
"REFRIGERANTE MANO DE OBRA","1","REFRIGERANTE MANO DE OBRA (1)"
"REVISA CLUTCH","1","REVISA CLUTCH (1)"
"MANTENIMIENTO ANUAL","1","MANTENIMIENTO ANUAL (1)"
"REVISAR BOTON ESTACIONARIAS","1","REVISAR BOTON ESTACIONARIAS (1)"
"MANTENIMIENTO RUEDAS","1","MTO RUEDAS (1)"
"MANTENIMIRNTO GENERAL","1","MANTENIMIRNTO GENERAL (1)"
"2 GUAYAS","1","2 GUAYAS (1)"
"SOCKET Y CONECTOR DIRECCIONAL","1","SOCKET Y CONECTOR DIRECCIONAL (1)"
"CAJA FILTRO","1","CAJA FILTRO (1)"
"ARREGLO SOPORTE PORTAMALETAS","1","ARREGLO SOPORTE PORTAMALETAS (1)"
"LIMPIEZA TAPA PINON","1","LIMPIEZA TAPA PIÑON (1)"
"CAMBIO DE LIQUIDOS","1","CAMBIO DE LIQUIDOS (1)"
"INSTALACION ESPEJO","1","INSTALACION ESPEJO (1)"
"MATO GENERAL","1","MATO GENERAL (1)"
"ARREGLO ECO Y TABLERO","1","ARREGLO ECO Y TABLERO (1)"
"SEGURO DE SILLA","1","SEGURO DE SILLA (1)"
"RODAMIENTO","1","RODAMIENTO (1)"
"CROMO DE OBRRA","1","CROMO DE OBRRA (1)"
"ARREGLO DE PITOS","1","ARREGLO DE PITOS (1)"
"SELLO BOMBA DE AGUA","1","SELLO BOMBA DE AGUA (1)"
"DBKILLER","1","DBKILLER (1)"
"TAPONES DEFENSAS","1","TAPONES DEFENSAS (1)"
"PASTILLAS TRAS","1","PASTILLAS TRAS (1)"
"GUAYAS DE CLUTCH","1","GUAYAS  DE CLUTCH (1)"
"INSTALAR GUARDABARRO","1","INSTALAR GUARDABARRO (1)"
"AJUSTAR GATO CENTRAL","1","AJUSTAR GATO CENTRAL (1)"
"CORTAR HAND SABER","1","CORTAR HAND SABER (1)"
"ENDEREZAR BARRAS","1","ENDEREZAR BARRAS (1)"
"AJUSRE DE TAPAS","1","AJUSRE DE TAPAS (1)"
"AJUSTE CAJON","1","AJUSTE CAJON (1)"
"UNIFICACION DE LLAVES","1","UNIFICACION DE LLAVES (1)"
"NIVEL DE REFRIGERANTE","1","NIVEL DE REFRIGERANTE (1)"
"TAPIZADO SE SILLAS","1","TAPIZADO SE SILLAS (1)"
"POLICHADO DE VIDOR","1","POLICHADO DE VIDOR (1)"
"VALVULAS DE ADMISION","1","VALVULAS DE ADMISION (1)"
"EMPAQUE DE CILINDRO","1","EMPAQUE DE CILINDRO (1)"
"INSTALACION MANGOS","1","INSTALACION MANGOS (1)"
"CAMBIO REFRIGRANTE","1","CAMBIO REFRIGRANTE (1)"
"ARREGLO BASE DE CLUTCH","1","ARREGLO BASE DE CLUTCH (1)"
"BOMBA DE FRENO TRASERO","1","BOMBA DE FRENO TRASERO (1)"
"POSAPIE TRASERO DERECHO","1","POSAPIE TRASERO DERECHO (1)"
"ARREGLO INMOBILIZADOR","1","ARREGLO INMOBILIZADOR (1)"
"CENTRADA RIN TRASERO","1","CENTRADA RIN TRASERO (1)"
"FILTRO DE ACEITE KYN","1","FILTRO DE ACEITE KYN (1)"
"CAMBIO DE POSAPIE","1","CAMBIO DE POSAPIE (1)"
"ABRAZADERAS RINES","1","ABRAZADERAS RINES (1)"
"MANTENIMIENTO Y LIMPIEZA DE RADIADOR","1","MANTENIMIENTO Y LIMPIEZA DE RADIADOR (1)"
"ARREGLO FUGA DE ACEITE","1","ARREGLO FUGA DE ACEITE (1)"
"MANTENIMIENTO DE SISTEMA ELECTRICO","1","MANTENIMIENTO DE SISTEMA ELECTRICO (1)"
"CENTRADA RIN DELANTERO","1","CENTRADA RIN DELANTERO (1)"
"HELICOIL CALIPER TRASERO","1","HELICOIL CALIPER TRASERO (1)"
"ABONO 2","1","ABONO 2 (1)"
"DIAGNOSTICO CORONA","1","DIAGNOSTICO CORONA (1)"
"AJUSTE RADIOS TRASEROS","1","AJUSTE RADIOS TRASEROS (1)"
"REMACHES DISCOS DELANTEROS","1","REMACHES DISCOS DELANTEROS (1)"
"PRESTAMO","1","PRESTAMO (1)"
"PINTURA Y ARREGLO CARENAJE","1","PINTURA Y ARREGLO CARENAJE (1)"
"ARREGLO ESCAPE DE REFRIGERANTE","1","ARREGLO ESCAPE DE REFRIGERANTE (1)"
"TAPIZADO DE SILLIN","1","TAPIZADO DE SILLIN (1)"
"MENSULA","1","MENSULA (1)"
"SOLDADURA BASE PORTAMALETA","1","SOLDADURA BASE PORTAMALETA (1)"
"ESPUMAS DE GRIPS","1","ESPUMAS DE GRIPS (1)"
"RELAY MOTOR DE ARRANQUE","1","RELAY MOTOR DE ARRANQUE (1)"
"SILENCIADOR","1","SILENCIADOR (1)"
"ARREGLO Y PULIDA DE EXOSTO","1","ARREGLO Y PULIDA DE EXOSTO (1)"
"SOPORTE FAROLA","1","SOPORTE FAROLA (1)"
"2 BOMBILLOS H7","1","2 BOMBILLOS H7 (1)"
"ARREGLO DIRECCIONAL DELANTERA","1","ARREGLO DIRECCIONAL DELANTERA (1)"
"MANTENIMIENTO MECANISMO MALETERO","1","MANTENIMIENTO MECANISMO MALETERO (1)"
"REVISAR TEME ELECTRICO","1","REVISAR TEME ELECTRICO (1)"
"SOLDADURA DEFENSA TRASERA","1","SOLDADURA DEFENSA TRASERA (1)"
"ARREGLO TAPA TANQUE","1","ARREGLO TAPA TANQUE (1)"
"FULTRO DE ACEITE","1","FULTRO DE ACEITE (1)"
"LUBRICACION DE CADENE","1","LUBRICACION DE CADENE (1)"
"REPROGRAMACION","1","REPROGRAMACION (1)"
"TAMBOR TAPA Y DISCOS DE CLUTCH","1","TAMBOR, TAPA Y DISCOS DE CLUTCH (1)"
"DIRECCIONAL IZQUIERDA","1","DIRECCIONAL IZQUIERDA (1)"
"PURGA DE CLUTCH Y FRENO","1","PURGA DE CLUTCH Y FRENO (1)"
"TORNILLOS DE VISOR","1","TORNILLOS DE VISOR (1)"
"REVISION DE VALVULAS","1","REVISION DE VALVULAS (1)"
"RECTIFICACION TUERCA DE ACEITE","1","RECTIFICACION TUERCA DE ACEITE (1)"
"PULIR VISOR","1","PULIR VISOR (1)"
"ARREGLO PLACA","1","ARREGLO PLACA (1)"
"REVISION PITO","1","REVISION PITO (1)"
"PINTURA TAPAS COLA","1","PINTURA TAPAS COLA (1)"
"ROSCA DE ESPEJO","1","ROSCA DE ESPEJO (1)"
"RECTIFICADA DE RINES","1","RECTIFICADA DE RINES (1)"
"CORRECCION","1","CORRECCION (1)"
"ARREGLO FUGA MOTOR","1","ARREGLO FUGA MOTOR (1)"
"VALVULAS Y SELLOS DE VALVULAS","1","VALVULAS Y SELLOS DE VALVULAS (1)"
"PASTILLAS DELANETRAS","1","PASTILLAS DELANETRAS (1)"
"MANO DE OBRA ANILLADA","1","MANO DE OBRA ANILLADA (1)"
"MANTENIMIENTO DE MANDO","1","MANTENIMIENTO DE MANDO (1)"
"INSTALACION FILTRO DE GASOLINA","1","INSTALACION FILTRO DE GASOLINA (1)"
"RESORTES DE PRENSA","1","RESORTES DE PRENSA (1)"
"ENDEREZAR MULETA","1","ENDEREZAR MULETA (1)"
"TORNILLO SOPORTE MOTOR","1","TORNILLO SOPORTE MOTOR (1)"
"TAPAS DE CLUTCH","1","TAPAS DE CLUTCH (1)"
"KIT DE ARRATRE","1","KIT DE ARRATRE (1)"
"MANTENIMIENTO BUJES DE SUSPENSION","1","MANTENIMIENTO BUJES DE SUSPENSION (1)"
"CARACOL DE CLUTSH","1","CARACOL DE CLUTSH (1)"
"KIT DE PINONES","1","KIT DE PIÑONES (1)"
"FLASHER DIRECCIONALES","1","FLASHER DIRECCIONALES (1)"
"CAMBIO CUPULA","1","CAMBIO CUPULA (1)"
"GRIP","1","GRIP (1)"
"BASE CARPLAY","1","BASE CARPLAY (1)"
"MANTENIMIENTO DE MANDO DERECHO","1","MANTENIMIENTO DE MANDO DERECHO (1)"
"CAMBIO GUAYA ACELERADOR","1","CAMBIO GUAYA ACELERADOR (1)"
"MANO DE OBRA CAUCHOS","1","MANO DE OBRA CAUCHOS (1)"
"CAMBIO ORING CKP","1","CAMBIO ORING CKP (1)"
"NIVELAR ACEITE","1","NIVELAR ACEITE (1)"
"CAMBIO VALVULA AIRE RUEDA TRASERA","1","CAMBIO VALVULA AIRE RUEDA TRASERA (1)"
"RODAMIENTOS VOLANTE","1","RODAMIENTOS VOLANTE (1)"
"SEPARADORES DE DISCOS","1","SEPARADORES DE DISCOS (1)"
"CKP NUEVO","1","CKP NUEVO (1)"
"SEPARAR EXOSTO DEL AMORTIGUADOR","1","SEPARAR EXOSTO DEL AMORTIGUADOR (1)"
"ARREGLO INTERRUPTOR","1","ARREGLO INTERRUPTOR (1)"
"SWITCH MOTOVENTILADOR","1","SWITCH MOTOVENTILADOR (1)"
"CAMBIO FAROLA","1","CAMBIO FAROLA (1)"
"SERVICIO SCANNER","1","SERVICIO SCANNER (1)"
"PROTECTORES DE MOTOR","1","PROTECTORES DE MOTOR (1)"
"INSTALACION PROTECTOR DE MOTOR","1","INSTALACION PROTECTOR DE MOTOR (1)"
"ARREGLO DE RIN DELANTERO","1","ARREGLO DE RIN DELANTERO (1)"
"SOLDADURA DE MENSULA","1","SOLDADURA DE MENSULA (1)"
"SOLDADURA BASE POSAPIE","1","SOLDADURA BASE POSAPIE (1)"
"INSTALACION ELEVADORES DE MANUBRIO","1","INSTALACION ELEVADORES DE MANUBRIO (1)"
"INSTALACION DE PITO","1","INSTALACION DE PITO (1)"
"INSTALACION FORRO DE SILLA","1","INSTALACION FORRO DE SILLA (1)"
"SENSOR DE GASOLINA","1","SENSOR DE GASOLINA (1)"
"CAMBIO DE GUAYA DE CLUTCH","1","CAMBIO DE GUAYA DE CLUTCH (1)"
"TORNILLO SKID PLATE","1","TORNILLO SKID PLATE (1)"
"TAPITA VISOR","1","TAPITA VISOR (1)"
"1 BUJIA DE SEGUNDA","1","1 BUJIA DE SEGUNDA (1)"
"RODAMIENTO DE CARDAN","1","RODAMIENTO DE CARDAN (1)"
"MANTENIMIENTO DE TIJERA Y DE CARDAN","1","MANTENIMIENTO DE TIJERA Y DE CARDAN (1)"
"FILTRO DE ACEITE ORIGINAL","1","FILTRO DE ACEITE ORIGINAL (1)"
"PINTURA GUASRDABARRO DELANTERO","1","PINTURA GUASRDABARRO DELANTERO (1)"
"PROTECTOR LINEA DE FRENO","1","PROTECTOR LINEA DE FRENO (1)"
"GRADUAR FRENOS","1","GRADUAR FRENOS (1)"
"SOLDADURA Y ALINEACION DE RIN","1","SOLDADURA Y ALINEACION DE RIN (1)"
"ARANDELA EJE TRASERO","1","ARANDELA EJE TRASERO (1)"
"PINTURA TAPA LATERAL DERECHA","1","PINTURA TAPA LATERAL DERECHA (1)"
"MNTENIMIENTO GENERAL","1","MNTENIMIENTO GENERAL (1)"
"MANTENIMIENTO Y ARREGLO DE BARRAS","1","MANTENIMIENTO Y ARREGLO DE BARRAS (1)"
"AREGLO ABS","1","AREGLO ABS (1)"
"ARREGLO GATO CENTRAL","1","ARREGLO GATO CENTRAL (1)"
"MANTENIMEINTO DE MORDAZA","1","MANTENIMEINTO DE MORDAZA (1)"
"PESAS Y SOPORTES","1","PESAS Y SOPORTES (1)"
"ARREGLO PARTE ELECTRICA","1","ARREGLO PARTE ELECTRICA (1)"
"CAMBIO DE REFRIGERATNTE","1","CAMBIO DE REFRIGERATNTE (1)"
"INSTALACION INTERRUPTOR","1","INSTALACION INTERRUPTOR (1)"
"CAMBIO MANILARES","1","CAMBIO MANILARES (1)"
"LIMPIEZA DE BOMBA E INYECTORES","1","LIMPIEZA DE BOMBA E INYECTORES (1)"
"SELLOS BOMBA DE AGUA","1","SELLOS BOMBA DE AGUA (1)"
"TORNILLO CALIPER","1","TORNILLO CALIPER (1)"
"CAMNASTILLAS DE TRAPECIO Y MANTENIMIENTO","1","CAMNASTILLAS DE TRAPECIO Y MANTENIMIENTO (1)"
"REVISAR PERA DELANTERA","1","REVISAR PERA DELANTERA (1)"
"ARREGLO DE ESPEJO","1","ARREGLO DE ESPEJO (1)"
"ACEITE MOTOTR 400CC","1","ACEITE MOTOTR 400CC (1)"
"ARREGLO CHAPA MALETERO","1","ARREGLO CHAPA MALETERO (1)"
"MANTENIMIENTO DE LLANTAS","1","MANTENIMIENTO DE LLANTAS (1)"
"ARREGLO RADIADORES","1","ARREGLO RADIADORES (1)"
"ARREGLO DE DEFENSAS","1","ARREGLO DE DEFENSAS (1)"
"INSTALACION BASE E INTERRUPTORES","1","INSTALACION BASE E INTERRUPTORES (1)"
"1 EXPLORADORA","1","1 EXPLORADORA (1)"
"INSTALACION CARPLAY Y CAMARAS","1","INSTALACION CARPLAY Y CAMARAS (1)"
"REVISION TENSION DE CADENA","1","REVISION TENSION DE CADENA (1)"
"EXTRACCION DB KILLER","1","EXTRACCION DB KILLER (1)"
"ARREGLO ANCLAJE MALETERO","1","ARREGLO ANCLAJE MALETERO (1)"
"ABRAZADERA GUARDABARRO","1","ABRAZADERA GUARDABARRO (1)"
"RECTIFICACION DE CIGUENAL","1","RECTIFICACION DE CIGÜEÑAL (1)"
"CASQUETES","1","CASQUETES (1)"
"MANTENIMIENTO DE TRAPECIO Y TIJERA","1","MTO DE TRAPECIO Y TIJERA (1)"
"REVISAR LLANTA","1","REVISAR LLANTA (1)"
"TAPAS FAROLA","1","TAPAS FAROLA (1)"
"TORNILLOS Y PINES","1","TORNILLOS Y PINES (1)"
"PULIDA DE EXOSTO","1","PULIDA DE EXOSTO (1)"
"ARREGLO FUGA CULATA","1","ARREGLO FUGA CULATA (1)"
"ARREGLO DE GATO CENTRAL","1","ARREGLO DE GATO CENTRAL (1)"
"RETOQUES CHASIS","1","RETOQUES CHASIS (1)"
"PINTURA EXOSTO","1","PINTURA EXOSTO (1)"
"RETIRAR CALCAS","1","RETIRAR CALCAS (1)"
"POLICHADO DE TTANQUE","1","POLICHADO DE TTANQUE (1)"
"REVISAR UAYA DE CLUTCH","1","REVISAR UAYA DE CLUTCH (1)"
"CAMBIO DE SWITCH","1","CAMBIO DE SWITCH (1)"
"MANTENIMIENTO DE MORDAZA","1","MANTENIMIENTO DE MORDAZA (1)"
"CAMBIAR ACEITE DE BARRAS","1","CAMBIAR ACEITE DE BARRAS (1)"
"SERVICE","1","SERVICE (1)"
"AJUSTE Y LUBRICACION PASRTES MOVILES","1","AJUSTE Y LUBRICACION PASRTES MOVILES (1)"
"TAPA MANUBRIO","1","TAPA MANUBRIO (1)"
"REVISAR SONIDO MOTOR","1","REVISAR SONIDO MOTOR (1)"
"ARREGLO DIRECCIONAL IZQUIERDA TRASERA","1","ARREGLO DIRECCIONAL IZQUIERDA TRASERA (1)"
"SOPORTE GPS","1","SOPORTE GPS (1)"
"REVISAR RUIDO","1","REVISAR RUIDO (1)"
"REVISAR A VECES SE AHOGA","1","REVISAR A VECES SE AHOGA (1)"
"SE DEMORA EN ARRANCAR","1","SE DEMORA EN ARRANCAR (1)"
"BOMBILLO PERA DE FRENO","1","BOMBILLO PERA DE FRENO (1)"
"MANO DEOBRA MOTOR","1","MANO DEOBRA MOTOR (1)"
"ARREGLO LUZ FRONTAL","1","ARREGLO LUZ FRONTAL (1)"
"MEDIAS DE BRRAS","1","MEDIAS DE BRRAS (1)"
"SOLDADURA DE STAY","1","SOLDADURA DE STAY (1)"
"LUCES FEDERALES","1","LUCES FEDERALES (1)"
"SOPORTES LUCES","1","SOPORTES LUCES (1)"
"CAMBIO DE EXPLORADORA","1","CAMBIO DE EXPLORADORA (1)"
"TAPA DE EXOSTO","1","TAPA DE EXOSTO (1)"
"PASTILLAS DELANTERAS Y TRASERA","1","PASTILLAS DELANTERAS Y TRASERA (1)"
"ENDEREZAR RIN","1","ENDEREZAR RIN (1)"
"MANTENIMIENTO MANIGUETA","1","MANTENIMIENTO MANIGUETA (1)"
"TANSPORTE","1","TANSPORTE (1)"
"INSTALACION DE PIEZAS","1","INSTALACION DE PIEZAS (1)"
"MANO DE BRA","1","MANO DE BRA (1)"
"UNION DEFENSAS","1","UNION DEFENSAS (1)"
"SENSOR POSICION DE CAMBIOS","1","SENSOR POSICION DE CAMBIOS (1)"
"PESA IZQUIERDA","1","PESA IZQUIERDA (1)"
"RETOQUES Y PINTURA DEFENSAS","1","RETOQUES Y PINTURA DEFENSAS (1)"
"PINTURA HANDSAVER","1","PINTURA HANDSAVER (1)"
"UNION DEFENSA","1","UNION DEFENSA (1)"
"KIT DE ARRSTRE","1","KIT DE ARRSTRE (1)"
"GRUA","1","GRUA (1)"
"SOPORTES","1","SOPORTES (1)"
"CORRECCIN DE FUGA","1","CORRECCIN DE FUGA (1)"
"MONTAJE Y BALANCEO DE BIELA","1","MONTAJE Y BALANCEO DE BIELA (1)"
"1 4 DE SCEITE","1","1/4 DE SCEITE (1)"
"PINTURA TAPA LATERAL","1","PINTURA TAPA LATERAL (1)"
"2 GALONES DE GASOLINA","1","2 GALONES DE GASOLINA (1)"
"PINON VENDIX","1","PIÑON VENDIX (1)"
"IMPERMEABILIZACION","1","IMPERMEABILIZACION (1)"
"DESPINCHE LLANTA DELANTERA","1","DESPINCHE LLANTA DELANTERA (1)"
"NEUMATICOO","1","NEUMATICOO (1)"
"REVISAR Y COTIZAR CLUTCH","1","REVISAR Y COTIZAR CLUTCH (1)"
"BOMBILLOS LED H7","1","BOMBILLOS LED H7 (1)"
"CORREA","1","CORREA (1)"
"DISCO DE FRENO DELANTERO","1","DISCO DE FRENO DELANTERO (1)"
"DIRECCIONAL TRASERA IZQUIERDA","1","DIRECCIONAL TRASERA IZQUIERDA (1)"
"PINON","1","PIÑON (1)"
"1 GALON DE GASOLINA","1","1 GALON DE GASOLINA (1)"
"PRENDER DIRECCIONALES","1","PRENDER DIRECCIONALES (1)"
"PEDAL PALANCA DE FRENO","1","PEDAL PALANCA DE FRENO (1)"
"CAMBIO LIQUIDO DE FRNEOS","1","CAMBIO LIQUIDO DE FRNEOS (1)"
"KIT DE CADENILLA","1","KIT DE CADENILLA (1)"
"AJUSTE DE CUNAS Y GUAYA DE CLUTCH","1","AJUSTE DE CUNAS Y GUAYA DE CLUTCH (1)"
"CENTRO DE PRENSA","1","CENTRO DE PRENSA (1)"
"ARREGLO SOPORTE GATO","1","ARREGLO SOPORTE GATO (1)"
"AJUSTAR SENSOR DE MULETA","1","AJUSTAR SENSOR DE MULETA (1)"
"BOMBILLO ALUMBRAPLACA","1","BOMBILLO ALUMBRAPLACA (1)"
"NIVELACION DE LIQUIDOS","1","NIVELACION DE LIQUIDOS (1)"
"RETEN DE AGUA","1","RETEN DE AGUA (1)"
"MANO DE OBRA RETEN","1","MANO DE OBRA RETEN (1)"
"SINCRONIZACION Y CALIBRACION DE VALVULAS","1","SINCRONIZACION Y CALIBRACION DE VALVULAS (1)"
"PASADOR DE MORDAZA","1","PASADOR DE MORDAZA (1)"
"LUZ FEDERAL","1","LUZ FEDERAL (1)"
"TPIZADO DE SILLAS","1","TPIZADO DE SILLAS (1)"
"LENTE Y BOMBILLO DIRECCIONAKL","1","LENTE Y BOMBILLO DIRECCIONAKL (1)"
"RETEN DE BARRA DERECHA","1","RETEN DE BARRA DERECHA (1)"
"MANTENIMIENTO DE BARRA DER","1","MTO DE BARRA DER (1)"
"RETEN KIT DE AGUA","1","RETEN KIT DE AGUA (1)"
"SOLDADURA MANIGUETA DERECHA","1","SOLDADURA MANIGUETA DERECHA (1)"
"HAND SABER DERECHO","1","HAND SABER DERECHO (1)"
"SENSOR FRENO RESORTE","1","SENSOR FRENO RESORTE (1)"
"REMACHE DISCO DELANTERO","1","REMACHE DISCO DELANTERO (1)"
"ARREGLO PRENSA DE CLUTCH","1","ARREGLO PRENSA DE CLUTCH (1)"
"3 DISCOS DE CLUTCH","1","3 DISCOS DE CLUTCH (1)"
"MANO DE EXPLORADORAS","1","MANO DE EXPLORADORAS (1)"
"MANDO DERECHO","1","MANDO DERECHO (1)"
"RODAMIENTOS RUEDA TRASERA","1","RODAMIENTOS RUEDA TRASERA (1)"
"ENRADIADO DE RIN","1","ENRADIADO DE RIN (1)"
"MANO DEO BRA","1","MANO DEO BRA (1)"
"PLATICA CAUCHOS","1","PLATICA, CAUCHOS (1)"
"TECNOMECANMICA","1","TECNOMECANMICA (1)"
"AJUSTE DE CLUTCH Y REFRIGERANT","1","AJUSTE DE CLUTCH Y REFRIGERANT (1)"
"CARPLAY","1","CARPLAY (1)"
"CADENILLAS","1","CADENILLAS (1)"
"BOBINADO CORONA","1","BOBINADO CORONA (1)"
"SENSOR PRESION DE AIRE","1","SENSOR PRESION DE AIRE (1)"
"INTERRUPTOR LUCES","1","INTERRUPTOR LUCES (1)"
"PIN CUBRECADENA","1","PIN CUBRECADENA (1)"
"ARREGLO EXXPLORADORAS","1","ARREGLO EXXPLORADORAS (1)"
"ARREGLO PITOS","1","ARREGLO PITOS (1)"
"1 BOBINA NUEVA","1","1 BOBINA NUEVA (1)"
"MTANO DE OBRA MOTO VENTILADOR","1","MTANO DE OBRA MOTO VENTILADOR (1)"
"ARREGLO SISTEMA ELECTRICO DE FAROLA","1","ARREGLO SISTEMA ELECTRICO DE FAROLA (1)"
"MANO DE OBRA PASTILLAS","1","MANO DE OBRA PASTILLAS (1)"
"CAUCHO DE CLUTCH","1","CAUCHO DE CLUTCH (1)"
"GUAYA ACELERADOR","1","GUAYA ACELERADOR (1)"
"CAMBIO DE DISCOS DE CLUTCH","1","CAMBIO DE DISCOS DE CLUTCH (1)"
"FILTRO DE ACEITEL","1","FILTRO DE ACEITEL (1)"
"MANO DE OBRA TANQUE","1","MANO DE OBRA TANQUE (1)"
"COLOCAR SLIME","1","COLOCAR SLIME (1)"
"INSTALACION PORTA CELULAR","1","INSTALACION PORTA CELULAR (1)"
"TAPA VERDE","1","TAPA VERDE (1)"
"SOLDADURA EXOSTO","1","SOLDADURA EXOSTO (1)"
"CAMBIO CARPLAY","1","CAMBIO CARPLAY (1)"
"LLANTA DELNATERA ANAKEE ADVENTURE","1","LLANTA DELNATERA ANAKEE ADVENTURE (1)"
"PULVERIZADOR","1","PULVERIZADOR (1)"
"MANO DE OBRA BATERIA","1","MANO DE OBRA BATERIA (1)"
"RELAY DE ARRANQUE","1","RELAY DE ARRANQUE (1)"
"ARREGLO CAJA RELAYS","1","ARREGLO CAJA RELAYS (1)"
"REFRIERANTE","1","REFRIERANTE (1)"
"ARREGLO FASES NEGATIVAS","1","ARREGLO FASES NEGATIVAS (1)"
"AJUSTE PARTE FRONTAL","1","AJUSTE PARTE FRONTAL (1)"
"MANO DE OBRA MOTOR DE ARRANQUE","1","MANO DE OBRA MOTOR DE ARRANQUE (1)"
"POSAPIE IZQ","1","POSAPIE IZQ (1)"
"SOLDADURA RIN","1","SOLDADURA RIN (1)"
"CAUCHOS DE VISOR","1","CAUCHOS DE VISOR (1)"
"ESCOBILLA","1","ESCOBILLA (1)"
"PINTURA Y ARREGLOS GENERALES","1","PINTURA Y ARREGLOS GENERALES (1)"
"RADIOS TRASEROS X6","1","RADIOS TRASEROS X6 (1)"
"SINCRONIZACIOM","1","SINCRONIZACIOM (1)"
"LUZ DE PLACA","1","LUZ DE PLACA (1)"
"INSTALACIOON LUZ PLACA","1","INSTALACIOON LUZ PLACA (1)"
"ENDEREZAR COLA","1","ENDEREZAR COLA (1)"
"CABLEADO CORTO","1","CABLEADO CORTO (1)"
"SOLDADURA DE TIJERA","1","SOLDADURA DE TIJERA (1)"
"PINTURA TPAS DE MOTOR","1","PINTURA TPAS DE MOTOR (1)"
"CAMBIO DE PLACA","1","CAMBIO DE PLACA (1)"
"PUERTO USB","1","PUERTO USB (1)"
"INSTALACION POSAPIE","1","INSTALACION POSAPIE (1)"
"INSTALACION DE COSAS","1","INSTALACION DE COSAS (1)"
"MANTENIMIENTO RODAMIENTOS","1","MTO RODAMIENTOS (1)"
"PANEL LATERAL","1","PANEL LATERAL (1)"
"MANTENIMIENTO BARRAS","1","MTO BARRAS (1)"
"4 RADIOS","1","4 RADIOS (1)"
"CAMBIO SENSOR DE CLUTCH","1","CAMBIO SENSOR DE CLUTCH (1)"
"AJUSTE GUAYA DE CLUTCH","1","AJUSTE GUAYA DE CLUTCH (1)"
"MANTENIMIENTO MANIGUETA DE CLUTCH","1","MTO MANIGUETA DE CLUTCH (1)"
"MANRENIMIENTO DE KIT DE ARRASTRE","1","MANRENIMIENTO DE KIT DE ARRASTRE (1)"
"INSTALACION DE DISCOS","1","INSTALACION DE DISCOS (1)"
"ARREGLO DE EXPLORADORA","1","ARREGLO DE EXPLORADORA (1)"
"CAMBIO PASTILLAS TRRASERAS","1","CAMBIO PASTILLAS TRRASERAS (1)"
"CALIBRACION Y SENTADAD E VALVULAS","1","CALIBRACION Y SENTADAD E VALVULAS (1)"
"MANODE OBRA","1","MANODE OBRA (1)"
"CORTE DE CADENA","1","CORTE DE CADENA (1)"
"SISTEMA DE CARGA","1","SISTEMA DE CARGA (1)"
"TOTLA","1","TOTLA: (1)"
"MANO DE OBRA MOPTOR","1","MANO DE OBRA MOPTOR (1)"
"PINTURA DE BARRAS","1","PINTURA DE BARRAS (1)"
